condition,name,category,flow
10.1,EMV Liability Shift Counterfeit Fraud,Fraud,allocation
10.2,EMV Liability Shift Non-Counterfeit Fraud,Fraud,allocation
10.3,Other Fraud – Card-Present Environment,Fraud,allocation
10.4,Other Fraud – Card-Absent Environment,Fraud,allocation
10.5,Visa Fraud Monitoring Program,Fraud,allocation
11.1,Card Recovery Bulletin,Authorization,allocation
11.2,Declined Authorization,Authorization,allocation
11.3,No Authorization / Late Presentment,Authorization,allocation
12.2,Incorrect Transaction Code,Processing Errors,collaboration
12.3,Incorrect Currency,Processing Errors,collaboration
12.4,Incorrect Account Number,Processing Errors,collaboration
12.5,Incorrect Amount,Processing Errors,collaboration
12.6,Duplicate Processing / Paid by Other Means,Processing Errors,collaboration
12.7,Invalid Data,Processing Errors,collaboration
13.1,Merchandise/Services Not Received,Consumer Disputes,collaboration
13.2,Cancelled Recurring Transaction,Consumer Disputes,collaboration
13.3,Not as Described or Defective Merchandise/Services,Consumer Disputes,collaboration
13.4,Counterfeit Merchandise,Consumer Disputes,collaboration
13.5,Misrepresentation,Consumer Disputes,collaboration
13.6,Credit Not Processed,Consumer Disputes,collaboration
13.7,Cancelled Merchandise/Services,Consumer Disputes,collaboration
13.8,Original Credit Transaction Not Accepted,Consumer Disputes,collaboration
13.9,Non-Receipt of Cash at an ATM,Consumer Disputes,collaboration
